Activity Period,Passenger Count
200507,146879
200508,138025
200509,98571
200510,98141
200511,86557
200512,80624
200601,64671
200602,57127
200603,73854
200604,80497
200605,62080
200606,71923
200607,88810
200608,91350
200609,68207
200610,70036
200611,67894
200612,58183
200701,48331
200702,46777
200703,60136
200704,70505
200705,81167
200706,109004
200707,109290
200708,106367
200709,68204
200710,72742
200711,59416
200712,52692
200801,35705
200802,34450
200803,44344
200804,46588
200805,66807
200806,86579
200807,99908
200808,94368
200809,43722
200810,43645
200811,36841
200812,43331
200901,33604
200902,24793
200903,32187
200904,38339
200905,56077
200906,74435
200907,82836
200908,79562
200909,60260
200910,52395
200911,52394
200912,53754
201001,38728
201002,34350
201003,42539
201004,48116
201005,62844
201006,91182
201007,96667
201008,96792
201009,78188
201010,82012
201011,66495
201012,67356
201101,45680
201102,37384
201103,58427
201104,64419
201105,100044
201106,109901
201107,117670
201108,117394
201109,87199
201110,86306
201111,75796
201112,67619
201201,53749
201202,48935
201203,63917
201204,72085
201205,86569
201206,100170
201207,106857
201208,100930
201209,76129
201210,73374
201211,64520
201212,60132
201301,47270
201302,40298
201303,47412
201304,48627
201305,53926
201306,65038
201307,68288
201308,72161
201309,66509
201310,71452
201311,47580
201312,50323
201401,39684
201402,35779
201403,43293
201404,47038
201405,59001
201406,59525
201407,65450
201408,70084
201409,57813
201410,54719
201411,46451
201412,56630
201501,44826
201502,40423
201503,43249
201504,46709
201505,59427
201506,71630
201507,76245
201508,72571
201509,66419
201510,70495
201511,78186
201512,86546
201601,63464
201602,54911
201603,63294
201604,69011
201605,81182
201606,100059
201607,138039
201608,134984
201609,118094
201610,110069
201611,80594
201612,85153
201701,70317
201702,58414
201703,69630
201704,84140
201705,109762
201706,129887
201707,134308
201708,123561
201709,108054
201710,73124
201711,58192
201712,69296
201801,64358
201802,53387
201803,64507
201804,51992
201805,63212
201806,79364
201807,82198
201808,85952
201809,73171
201810,68404
201811,56318
201812,77841
201901,56768
201902,40129
201903,53235
201904,78786
201905,95498
201906,121923
201907,127944
201908,126191
201909,97135
